geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000213420.7	GPC2	protein_coding	protein_coding	29.747	26.5627	26.8035	28.7944	27.0242	25.7683	28.9393	48.6455	39.519	37.3532
ENSG00000213424.8	KRT222	protein_coding	protein_coding	0.1	0.1	0.1	2.9761399999999997e-31	0.1	0.355782	0.1	6.271980000000001e-100	0.437817	0.103159
ENSG00000213445.9	SIPA1	protein_coding	protein_coding	24.3577	21.0677	22.6441	15.8328	10.9536	11.4223	16.7528	7.98289	7.63041	5.82642
ENSG00000213462.4	ERV3-1	protein_coding	protein_coding	2.1159	5.84579	3.4708	29.1997	19.5255	21.9813	30.4011	14.206	17.9986	31.5722
ENSG00000213463.4	SYNJ2BP	protein_coding	protein_coding	9.99924	11.1366	4.22535	9.05011	8.91746	10.5365	8.89441	8.1001	6.86797	10.1926
ENSG00000213465.7	ARL2	protein_coding	protein_coding	106.771	93.3035	93.0264	65.5615	66.2931	56.6563	73.4962	69.7712	69.2683	68.3893
ENSG00000213468.6	FIRRE	lncRNA	processed_transcript	11.9261	9.99539	10.1032	6.50446	4.92066	4.41225	4.82524	14.7142	8.00556	6.20198
ENSG00000213471.10	TTLL13P	protein_coding	protein_coding	0.1	0.1	1.7889199999999998e-45	0.793521	0.710021	8.29101e-34	2.61956	0.1	6.716870000000001e-30	0.0762113
ENSG00000213512.2	GBP7	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213516.9	RBMXL1	protein_coding	protein_coding	5.9166	5.66559	6.26964	3.00099	2.97985	3.2683	2.96069	5.36966	5.4577	8.5809
ENSG00000213523.10	SRA1	protein_coding	protein_coding	30.4132	30.6255	31.3107	29.9727	34.3875	34.1725	19.2054	28.5686	21.6064	26.6586
ENSG00000213533.11	STIMATE	protein_coding	protein_coding	10.6461	11.8777	12.3456	10.2767	12.3573	7.97791	5.8759	9.24456	3.13928	9.77877
ENSG00000213551.4	DNAJC9	protein_coding	protein_coding	10.4242	10.1239	11.1329	7.46941	10.135	9.83602	8.21128	19.0964	15.6493	22.9817
ENSG00000213563.6	C8orf82	protein_coding	protein_coding	3.88506	4.94116	4.56178	6.28011	5.91025	5.52474	2.98655	5.19953	8.47415	5.84761
ENSG00000213578.5	CPLX3	protein_coding	protein_coding	0.1	0.1	0.387225	0.653017	0.687429	0.620234	0.719688	0.349954	1.32815	0.0396108
ENSG00000213585.10	VDAC1	protein_coding	protein_coding	154.475	152.032	165.921	117.039	123.404	134.956	128.382	147.005	148.793	121.124
ENSG00000213588.5	ZBTB9	protein_coding	protein_coding	6.68391	8.47707	8.51377	8.43065	10.607	10.0621	8.53285	10.5755	12.0194	8.27461
ENSG00000213593.9	TMX2	protein_coding	protein_coding	44.4052	45.7269	49.8182	38.9843	39.8702	35.0377	34.5151	40.6385	40.7682	57.7237
ENSG00000213599.10	SLX1A-SULT1A3	lncRNA	processed_transcript	2.8882	2.52237	3.33042	6.68369	5.78264	7.54705	5.71315	3.99832	5.06635	5.90763
ENSG00000213600.3	U73169.1	lncRNA	sense_intronic	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.382711
ENSG00000213614.9	HEXA	protein_coding	protein_coding	64.7562	51.6482	59.5594	165.16	161.237	152.934	196.001	82.9516	82.5196	73.6162
ENSG00000213619.9	NDUFS3	protein_coding	protein_coding	73.7282	78.6777	69.007	73.9006	105.472	94.4499	108.375	81.0354	96.4567	96.6164
ENSG00000213625.8	LEPROT	protein_coding	protein_coding	11.2737	21.3222	16.4967	22.7759	32.3489	17.0555	23.3189	25.1134	17.921	34.852
ENSG00000213626.12	LBH	protein_coding	protein_coding	18.7756	12.3092	17.5751	10.9379	13.946	12.1901	17.0241	15.5924	23.4297	14.4317
ENSG00000213638.5	ADAT3	protein_coding	protein_coding	1.39026	0.594895	2.75059	0.858797	2.6585900000000002e-33	0.360895	0.655979	0.620319	5.36341e-91	1.35785
ENSG00000213639.9	PPP1CB	protein_coding	protein_coding	44.0449	37.8332	57.7698	66.9158	59.1322	62.1195	67.002	46.6666	48.8972	114.221
ENSG00000213648.10	SULT1A4	protein_coding	protein_coding	4.68322	7.298	7.74897	3.86251	4.72684	5.54101	2.06722	6.24907	5.64532	4.96318
ENSG00000213654.9	GPSM3	protein_coding	protein_coding	11.5299	13.5254	11.3562	13.1369	11.3991	11.3249	12.6044	1.98133	2.08367	1.24838
ENSG00000213658.11	LAT	protein_coding	protein_coding	5.11358	3.65524	4.99415	6.2764	11.4932	5.40616	13.5113	5.1579	4.23798	0.962683
