lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000205930.8	ENSG00000205930	C21orf62-AS1	C21orf62	ENSG00000205929.10	ENSG00000205929	0.8540997628257584	0.001656021650929702	1.8023245218769035	FALSE	2.0390221496857435	FALSE	FALSE	Positive Up
ENSG00000213742.6	ENSG00000213742	ZNF337-AS1	ZNF337	ENSG00000130684.13	ENSG00000130684	0.7741824038060955	0.008574400235990808	0.21307467696371546	FALSE	2.4918781413388666	TRUE	FALSE	Positive Up
ENSG00000215067.9	ENSG00000215067	ALOX12-AS1	ALOX12	ENSG00000108839.11	ENSG00000108839	-0.8515183050328049	0.001770566135684048	2.7678094893208223	TRUE	-0.9486312502947808	FALSE	FALSE	Negative
ENSG00000215196.4	ENSG00000215196	BASP1-AS1	BASP1	ENSG00000176788.8	ENSG00000176788	0.7311016343490941	0.016287834987453776	1.1643569146219837	FALSE	-0.2710425453951846	FALSE	FALSE	Negative
ENSG00000218537.1	ENSG00000218537	MIF-AS1	MIF	ENSG00000240972.1	ENSG00000240972	0.632520005346245	0.049705105689864894	0.21918394031333327	FALSE	0.595397254319197	FALSE	FALSE	Positive Up
ENSG00000223534.1	ENSG00000223534	HLA-DQB1-AS1	HLA-DQB1	ENSG00000179344.16	ENSG00000179344	0.6486918191671462	0.042452095374003476	-0.9693277202657045	FALSE	-0.6428882737992835	FALSE	FALSE	Positive Down
ENSG00000223745.7	ENSG00000223745	CCDC18-AS1	CCDC18	ENSG00000122483.17	ENSG00000122483	-0.8697524407701323	0.001072778225577833	3.0112369659881497	TRUE	-1.6173064641961488	FALSE	FALSE	Negative
ENSG00000224243.1	ENSG00000224243	SOX1-OT	SOX1	ENSG00000182968.4	ENSG00000182968	0.9092759016734474	2.653294532074663e-4	5.212753454601734	TRUE	8.296449988288368	TRUE	TRUE	Positive Up
ENSG00000224596.7	ENSG00000224596	ZMIZ1-AS1	ZMIZ1	ENSG00000108175.16	ENSG00000108175	0.8375554306147269	0.0024918848215689468	2.9229351109525514	FALSE	0.6416312184671834	FALSE	FALSE	Positive Up
ENSG00000224660.1	ENSG00000224660	SH3BP5-AS1	SH3BP5	ENSG00000131370.15	ENSG00000131370	0.8620515950878316	0.0013368380451927835	1.9276925091508188	FALSE	1.9155459527157879	FALSE	FALSE	Positive Up
ENSG00000224729.5	ENSG00000224729	PCOLCE-AS1	PCOLCE	ENSG00000106333.12	ENSG00000106333	0.829055482509759	0.0030228188419722693	-0.14611628054119224	FALSE	0.543938978582534	FALSE	FALSE	Negative
ENSG00000225377.5	ENSG00000225377	NRSN2-AS1	NRSN2	ENSG00000125841.12	ENSG00000125841	0.7591250443914275	0.010883456523831558	0.9555842210744727	FALSE	1.1741904048133356	FALSE	FALSE	Positive Up
ENSG00000225706.1	ENSG00000225706	PTPRD-AS1	PTPRD	ENSG00000153707.16	ENSG00000153707	0.9592602414988181	1.1472556719554586e-5	1.184901999093065	FALSE	1.1025292390671788	FALSE	FALSE	Positive Up
