geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	comparison	mean_norm_a	mean_norm_b	fc_norm	abs_fc_norm	direction	max_fpkm_pair	geneName	raw_biotype	biotype	fc_for_filter	lfc_equiv_for_filter	is_deg
ENSG00000171219.8	25.60392496520555	-2.192730063070035	0.49969993982898725	-4.388093510318322	1.1434861270076426e-5	1.0043511362822428e-4	ENSG00000171219	D14 vs D28	39.3935296747856	7.217785352432164	0.18322261071853158	5.457841671824064	Down	4.29357	CDC42BPG	protein_coding	Protein-coding	5.457841671824064	2.448330543643317	TRUE
ENSG00000139445.17	9.726936611754896	5.299594990935986	1.2087730427337628	4.384276289741219	1.1637200136836109e-5	1.0215945394167708e-4	ENSG00000139445	D14 vs D28	0.5619641563954088	21.946899885567547	39.05391409007461	39.05391409007461	Up	4.18967	FOXN4	protein_coding	Protein-coding	39.05391409007461	5.287395241343221	TRUE
ENSG00000154589.6	5.673360843905033	-5.244346379211854	1.1976733198999663	-4.378778663659202	1.1934626592105053e-5	1.0466223671526838e-4	ENSG00000154589	D14 vs D28	9.864661867896547	0.08495947858301478	0.008612507931924765	116.11019785458882	Down	12.2238	LY96	protein_coding	Protein-coding	116.11019785458882	6.859350878155085	TRUE
ENSG00000101349.16	11.22275389602905	2.7070441299356176	0.6185882822986405	4.376164578928635	1.2078582852732402e-5	1.0576079405553932e-4	ENSG00000101349	D14 vs D28	3.230792303197977	21.87870268647048	6.771931041439587	6.771931041439587	Up	2.79205	PAK5	protein_coding	Protein-coding	6.771931041439587	2.7595672823476027	TRUE
ENSG00000174371.16	15.669439918831534	2.467918221559508	0.5643954433865924	4.372675666463637	1.2273298986080324e-5	1.0724450344090156e-4	ENSG00000174371	D14 vs D28	5.3974927265162	29.365369508585317	5.440557495209286	5.440557495209286	Up	5.32798	EXO1	protein_coding	Protein-coding	5.440557495209286	2.443754492351381	TRUE
ENSG00000167612.12	10.263116532223092	-4.344330557466095	0.9936575384255556	-4.372060181166301	1.2307958582481161e-5	1.0749203745543476e-4	ENSG00000167612	D14 vs D28	16.630016673815078	1.7739163434337755	0.10666954689389514	9.374746861864017	Down	4.15883	ANKRD33	protein_coding	Protein-coding	9.374746861864017	3.2287797351823873	TRUE
ENSG00000189057.10	11.693525408719227	4.157059994199244	0.9508535983197243	4.371924344131718	1.2315620495240295e-5	1.0750365283711555e-4	ENSG00000189057	D14 vs D28	1.5158716258274223	25.263730452574965	16.666141131037417	16.666141131037417	Up	5.29143	FAM111B	protein_coding	Protein-coding	16.666141131037417	4.058848197077567	TRUE
ENSG00000176244.6	9.722730782018358	3.594549675736632	0.8225640111603834	4.369933071428489	1.2428462346941137e-5	1.0837721300789245e-4	ENSG00000176244	D14 vs D28	1.7857263030586181	20.30540342063134	11.37094939232958	11.37094939232958	Up	6.96682	ACBD7	protein_coding	Protein-coding	11.37094939232958	3.507280808785491	TRUE
ENSG00000147485.12	12.65671377043152	-2.338509729973899	0.5353231216324861	-4.368407855880639	1.2515560130060989e-5	1.0902472031204489e-4	ENSG00000147485	D14 vs D28	19.380846006842795	3.691204121883151	0.1904562948686501	5.250548429967406	Down	2.03698	PXDNL	protein_coding	Protein-coding	5.250548429967406	2.392468122944613	TRUE
ENSG00000184304.14	17.72856819441325	2.0687443130587124	0.4736715355075513	4.367465971629474	1.2569637215931133e-5	1.094396413600404e-4	ENSG00000184304	D14 vs D28	7.747024808933171	31.03729270838669	4.006349982589095	4.006349982589095	Up	4.99238	PRKD1	protein_coding	Protein-coding	4.006349982589095	2.002288456120911	TRUE
